stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-436452.568 0.933 701.979 700.321 8.935 47.376 1020.942 616.769 347.776 1341.563 1224.602 648.176 1662.184 1832.436 948.576 1976.393 2428.114 1242.968 1 
-19958.403 1.727 792.330 615.894 -23.585 497.901 1114.717 -569.257 624.068 1613.539 -1114.929 750.235 2112.362 -1660.601 876.402 2601.208 -2195.359 1000.046 0 
-50261.272 1.370 1426.070 1189.694 -786.142 16.853 1922.578 -857.676 159.203 2655.463 -929.211 301.553 3388.347 -1000.745 443.903 4106.573 -1070.849 583.407 0 
-106703.708 1.223 253.919 250.328 -36.086 -106.862 189.786 -325.794 582.271 129.243 -615.502 1271.403 68.700 -905.211 1960.536 9.368 -1189.124 2635.886 1 
-74621.386 1.620 1575.733 -1570.801 -17.795 123.303 -1696.783 -755.319 175.140 -1822.765 -1492.843 226.976 -1948.747 -2230.366 278.813 -2072.210 -2953.140 329.613 0 
-10527.438 1.581 1327.473 52.975 8.433 -2630.352 -279.123 209.758 -1988.729 -611.221 411.083 -1347.107 -943.319 612.409 -705.485 -1268.775 809.707 -76.695 0 
-390385.046 0.696 2967.043 -2759.789 1085.004 -98.379 -3205.766 1283.327 -667.828 -3651.744 1481.650 -1237.277 -4097.721 1679.973 -1806.726 -4534.779 1874.330 -2364.785 0 
-22335.508 1.522 1293.944 -6.401 -1494.932 -139.128 461.752 -1159.595 341.373 929.905 -824.258 821.874 1398.058 -488.920 1302.376 1856.848 -160.290 1773.267 0 
-454222.499 1.826 1073.507 1078.341 -627.237 4.506 982.512 -28.912 446.461 886.684 569.413 888.417 790.856 1167.737 1330.372 696.944 1754.096 1763.488 0 
-1909350.433 1.121 34.859 17.043 -24.850 17.525 409.208 -497.051 -413.442 801.372 -969.252 -844.410 1193.537 -1441.454 -1275.378 1577.858 -1904.211 -1697.726 1 
-2487103.268 1.884 599.383 -28.247 3.932 -891.800 -392.425 329.974 -322.967 -756.603 656.016 245.866 -1120.781 982.058 814.699 -1477.675 1301.579 1372.155 1 
-414217.649 1.262 1780.879 -20.322 -1346.215 -1240.080 -574.045 -1534.612 -770.615 -1127.768 -1723.009 -301.151 -1681.492 -1911.406 168.314 -2224.141 -2096.036 628.389 0 
-118789.013 0.559 2009.189 -3.300 -48.194 2008.608 576.304 -41.633 2484.545 1155.908 -35.072 2960.482 1735.512 -28.511 3436.420 2303.524 -22.082 3902.838 0 
