stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 spike 
-75264.300 1.921 340.157 376.129 -9.273 -250.711 282.213 -192.458 7.210 188.297 -375.643 265.130 94.381 -558.828 523.051 0.464 -742.013 780.971 -93.452 -925.198 1038.892 -187.368 -1108.383 1296.812 -281.284 -1291.568 1554.733 -375.200 -1474.753 1812.653 -473.385 -1666.265 2082.298 0 
-151031.983 1.217 1687.087 -189.285 -153.362 -1763.029 131.661 -119.026 -1694.364 452.607 -84.691 -1625.699 773.553 -50.355 -1557.033 1094.498 -16.019 -1488.368 1415.444 18.317 -1419.703 1736.390 52.652 -1351.038 2057.335 86.988 -1282.372 2378.281 121.324 -1213.707 2713.815 157.220 -1141.921 0 
-28728.912 1.207 2970.524 -2914.778 -498.609 -281.907 -3059.366 -677.228 -45.075 -3203.954 -855.848 191.757 -3348.542 -1034.467 428.589 -3493.130 -1213.087 665.421 -3637.718 -1391.707 902.253 -3782.306 -1570.326 1139.085 -3926.894 -1748.946 1375.917 -4071.482 -1927.565 1612.749 -4222.642 -2114.304 1860.346 0 
-151483.855 1.330 203.385 41.423 3.369 199.094 269.245 7.362 437.802 497.067 11.354 676.509 724.889 15.346 915.217 952.710 19.339 1153.924 1180.532 23.331 1392.632 1408.354 27.324 1631.339 1636.176 31.316 1870.047 1863.998 35.308 2108.754 2102.175 39.482 2358.312 1 
-795412.910 0.510 1597.187 -9.122 38.838 1956.561 257.406 79.483 1766.269 523.934 120.128 1575.978 790.462 160.773 1385.686 1056.989 201.418 1195.394 1323.517 242.062 1005.103 1590.045 282.707 814.811 1856.573 323.352 624.519 2123.101 363.997 434.227 2401.743 406.489 235.286 0 
-86356.060 1.269 378.397 -59.206 -373.653 7.906 106.797 -585.638 198.709 272.799 -797.622 389.512 438.801 -1009.607 580.315 604.803 -1221.592 771.118 770.805 -1433.576 961.921 936.808 -1645.561 1152.725 1102.810 -1857.545 1343.528 1268.812 -2069.530 1534.331 1442.360 -2291.150 1733.807 0 
-13884.366 0.932 1743.377 -1538.397 -504.046 -647.022 -1627.251 -819.763 -683.460 -1716.104 -1135.480 -719.898 -1804.958 -1451.197 -756.336 -1893.812 -1766.915 -792.774 -1982.666 -2082.632 -829.212 -2071.520 -2398.349 -865.650 -2160.374 -2714.066 -902.088 -2249.228 -3029.783 -938.526 -2342.120 -3359.851 -976.621 0 
-671629.945 1.225 2059.800 -6.028 299.453 -2037.908 8.373 207.999 -2354.655 22.774 116.545 -2671.402 37.175 25.091 -2988.149 51.576 -66.363 -3304.897 65.977 -157.817 -3621.644 80.378 -249.271 -3938.391 94.779 -340.725 -4255.138 109.180 -432.179 -4571.885 124.236 -527.790 -4903.030 0 
-942418.730 1.410 710.205 -1167.804 337.162 -359.157 -912.162 135.998 -414.662 -656.521 -65.165 -470.167 -400.880 -266.328 -525.671 -145.238 -467.491 -581.176 110.403 -668.655 -636.681 366.045 -869.818 -692.186 621.686 -1070.981 -747.691 877.328 -1272.144 -803.196 1144.589 -1482.451 -861.224 1 
-118587.031 0.745 307.990 -486.751 66.071 -16.368 -205.930 192.093 -135.354 74.892 318.115 -254.341 355.713 444.137 -373.327 636.535 570.159 -492.313 917.356 696.180 -611.300 1198.178 822.202 -730.286 1479.000 948.224 -849.273 1759.821 1074.246 -968.259 2053.407 1205.996 -1092.654 0 
-32765.648 1.567 20.938 -5.698 -59.137 -12.842 13.807 267.346 -56.753 33.312 593.829 -100.663 52.817 920.313 -144.574 72.323 1246.796 -188.485 91.828 1573.279 -232.396 111.333 1899.763 -276.307 130.838 2226.246 -320.217 150.344 2552.730 -364.128 170.736 2894.053 -410.035 1 
-8885888.912 0.728 130.025 -4.034 -81.168 -101.499 -307.186 -211.512 -104.459 -610.339 -341.856 -107.419 -913.492 -472.200 -110.379 -1216.645 -602.544 -113.338 -1519.798 -732.888 -116.298 -1822.951 -863.232 -119.258 -2126.104 -993.576 -122.218 -2429.257 -1123.920 -125.178 -2746.189 -1260.188 -128.272 1 
-17413.328 1.950 151.729 -186.263 -6.913 -6.051 -7.593 226.847 143.392 171.077 460.607 292.836 349.746 694.367 442.279 528.416 928.126 591.723 707.086 1161.886 741.167 885.756 1395.646 890.610 1064.426 1629.406 1040.054 1243.096 1863.166 1189.497 1429.888 2107.551 1345.733 0 
-2518587.166 0.597 1690.090 101.034 1685.952 -61.343 -209.899 1703.154 -170.544 -520.832 1720.356 -279.744 -831.765 1737.558 -388.945 -1142.698 1754.760 -498.145 -1453.631 1771.961 -607.346 -1764.564 1789.163 -716.546 -2075.497 1806.365 -825.747 -2386.430 1823.567 -934.947 -2711.496 1841.551 -1049.111 0 
-326009.106 0.535 766.499 -30.159 16.663 -1987.169 101.708 12.772 -1684.686 233.574 8.880 -1382.203 365.441 4.989 -1079.720 497.307 1.098 -777.237 629.174 -2.793 -474.754 761.041 -6.684 -172.270 892.907 -10.575 130.213 1024.774 -14.467 432.696 1162.634 -18.535 748.928 0 
