stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 spike 
-58385.779 1.756 201.763 70.864 8.026 -188.738 1690.474 1608.904 1856.392 1 
-59245.223 1.695 1033.585 -13.362 96.021 -1029.029 34.617 3147.220 -791.566 0 
-72513.495 1.974 748.943 -71.716 80.946 -741.094 2710.167 -251.512 491.426 0 
-33026.229 0.672 2926.190 -2945.908 1959.907 -11.015 -1567.036 619.525 -2392.316 0 
-5597308.260 0.520 80.584 111.555 82.378 45.835 -2418.122 1181.036 1373.309 1 
-8151612.549 0.569 87.418 -4.920 -6.020 87.071 225.497 -2129.048 2279.824 1 
-1092823.225 0.678 2276.062 2062.068 -958.923 -93.835 4865.223 -2037.079 -684.088 0 
-168591.782 0.778 156.738 -155.065 -22.336 4.792 -2769.431 -1242.965 1026.388 1 
-25505.370 0.675 1171.906 1195.948 38.738 376.597 999.142 1669.427 2959.352 0 
-9733813.573 1.288 122.533 100.708 -10.669 -90.630 536.250 -446.401 -3088.786 1 
-134808.445 1.573 940.686 134.774 -42.941 989.236 2629.555 823.994 2536.168 0 
-979587.004 1.939 167.444 3.810 6.885 167.259 -140.828 -1032.169 -2708.146 1 
-17854.767 0.702 626.312 -29.596 45.478 -2226.276 -970.207 2944.766 -1947.198 0 
-99736.425 1.815 53.502 4.644 48.821 21.388 -994.150 -473.555 2867.093 1 
-11929.384 1.904 1723.977 50.327 387.425 -1679.127 867.839 1671.244 -4334.684 0 
-23004.064 1.437 1882.639 242.212 833.215 -1808.045 -2486.296 -453.130 -1289.332 0 
-12473.192 1.465 930.449 -150.215 -865.549 890.438 1774.293 -1362.268 -1437.230 0 
-27209.643 0.665 720.816 101.177 -713.611 -9.950 993.338 900.524 2432.820 0 
-82312.396 0.882 127.225 1523.733 -50.549 -22.123 619.495 -67.159 -2946.261 1 
-578735.236 1.233 1251.629 -1251.612 -4.822 4.253 -3845.355 -1602.889 299.524 0 
-3794379.635 0.615 957.502 130.348 9.579 -948.540 -2199.979 82.265 -2931.668 1 
-641573.657 1.521 1367.395 -6.124 2362.503 -759.530 -1773.292 2259.035 1737.451 0 
-6790456.081 1.160 60.748 -56.572 21.596 -4.855 678.599 2641.318 -1406.670 1 
-44645.159 1.053 306.305 -26.007 305.174 -3.908 -252.812 3208.768 -945.290 0 
-57163.689 1.121 43.655 104.003 -181.257 -22.193 2636.052 1262.976 -955.695 1 
-63080.261 1.981 1270.065 -2315.935 7.343 -7.727 -3217.787 2931.940 -51.264 0 
-19675.835 1.964 169.484 -160.545 -54.178 3.865 -2577.087 -879.008 -1683.879 1 
-386352.889 2.000 195.806 -195.041 -16.441 5.342 1621.927 60.485 -2456.611 1 
-2564942.927 1.753 98.419 97.481 -10.443 8.640 2989.483 -969.986 -281.372 1 
-12396.646 1.813 900.115 -2290.249 75.346 -462.307 -624.134 930.697 1958.631 0 
-2336209.832 0.905 284.403 355.122 23.439 -28.733 1653.108 -2242.717 1567.597 1 
-17423.158 1.083 2599.885 -2495.592 1089.792 -27.362 -2767.274 3898.675 -1212.633 0 
-166528.240 0.725 492.941 -3.141 15.371 -492.691 -1187.539 -360.408 -3289.921 0 
