stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 spike 
-232907.178 0.742 481.059 106.561 -5.410 -469.077 74.198 -127.407 -550.130 41.835 -249.403 -631.182 9.472 -371.400 -712.235 -22.890 -493.397 -793.287 -55.253 -615.393 -874.339 -87.616 -737.390 -955.392 -119.979 -859.386 -1036.444 -152.342 -981.383 -1117.497 -184.705 -1103.379 -1198.549 -217.067 -1225.376 -1279.601 -249.430 -1347.372 -1360.654 -281.793 -1469.369 -1441.706 -314.156 -1591.365 -1522.759 -346.519 -1713.362 -1603.811 -378.882 -1835.359 -1684.863 -411.244 -1957.355 -1765.916 -443.607 -2079.352 -1846.968 -475.970 -2201.348 -1928.020 -537.459 -2433.142 -2082.020 1 
-1056176.089 1.550 2763.372 2765.007 -34.781 80.325 2761.580 -79.751 -62.734 2758.154 -124.721 -205.793 2754.727 -169.691 -348.853 2751.301 -214.661 -491.912 2747.874 -259.630 -634.971 2744.448 -304.600 -778.031 2741.021 -349.570 -921.090 2737.595 -394.540 -1064.149 2734.168 -439.510 -1207.209 2730.742 -484.480 -1350.268 2727.315 -529.450 -1493.327 2723.889 -574.420 -1636.387 2720.462 -619.389 -1779.446 2717.036 -664.359 -1922.505 2713.609 -709.329 -2065.565 2710.183 -754.299 -2208.624 2706.756 -799.269 -2351.683 2703.330 -844.239 -2494.743 2696.820 -929.682 -2766.555 0 
-41787.640 0.995 2912.625 1591.164 2376.992 -549.079 1606.315 2380.371 -698.273 1621.465 2383.750 -847.468 1636.616 2387.129 -996.663 1651.766 2390.508 -1145.857 1666.917 2393.887 -1295.052 1682.067 2397.266 -1444.247 1697.218 2400.645 -1593.441 1712.368 2404.024 -1742.636 1727.519 2407.403 -1891.831 1742.669 2410.782 -2041.025 1757.820 2414.161 -2190.220 1772.970 2417.540 -2339.415 1788.121 2420.919 -2488.609 1803.271 2424.298 -2637.804 1818.422 2427.676 -2786.999 1833.572 2431.055 -2936.193 1848.723 2434.434 -3085.388 1863.873 2437.813 -3234.583 1892.659 2444.233 -3518.052 0 
-45793.796 1.225 245.656 -13.486 -235.813 -67.507 116.608 -310.459 -69.410 246.701 -385.106 -71.314 376.794 -459.753 -73.217 506.887 -534.399 -75.121 636.981 -609.046 -77.024 767.074 -683.693 -78.927 897.167 -758.339 -80.831 1027.260 -832.986 -82.734 1157.354 -907.632 -84.638 1287.447 -982.279 -86.541 1417.540 -1056.926 -88.445 1547.633 -1131.572 -90.348 1677.727 -1206.219 -92.252 1807.820 -1280.866 -94.155 1937.913 -1355.512 -96.058 2068.006 -1430.159 -97.962 2198.100 -1504.805 -99.865 2328.193 -1579.452 -101.769 2575.370 -1721.281 -105.385 0 
-1872712.206 0.815 3082.838 2512.192 -1786.019 53.996 2544.468 -1759.371 198.039 2576.744 -1732.723 342.081 2609.019 -1706.075 486.123 2641.295 -1679.427 630.165 2673.571 -1652.779 774.208 2705.846 -1626.131 918.250 2738.122 -1599.483 1062.292 2770.398 -1572.835 1206.334 2802.673 -1546.187 1350.376 2834.949 -1519.539 1494.419 2867.224 -1492.891 1638.461 2899.500 -1466.243 1782.503 2931.776 -1439.595 1926.545 2964.051 -1412.947 2070.588 2996.327 -1386.299 2214.630 3028.603 -1359.651 2358.672 3060.878 -1333.003 2502.714 3093.154 -1306.355 2646.757 3154.478 -1255.724 2920.437 0 
-225484.101 1.029 2006.940 -2666.930 5.200 5.076 -2567.879 114.251 33.302 -2468.828 223.302 61.529 -2369.776 332.353 89.755 -2270.725 441.405 117.981 -2171.674 550.456 146.207 -2072.623 659.507 174.433 -1973.572 768.558 202.660 -1874.520 877.609 230.886 -1775.469 986.660 259.112 -1676.418 1095.711 287.338 -1577.367 1204.762 315.564 -1478.315 1313.813 343.791 -1379.264 1422.864 372.017 -1280.213 1531.915 400.243 -1181.162 1640.966 428.469 -1082.111 1750.017 456.695 -983.059 1859.068 484.922 -884.008 1968.120 513.148 -695.811 2175.317 566.778 0 
-204971.314 1.490 382.925 -375.198 35.127 -68.003 -413.449 -75.265 -162.081 -451.699 -185.656 -256.158 -489.950 -296.048 -350.235 -528.201 -406.440 -444.313 -566.451 -516.831 -538.390 -604.702 -627.223 -632.468 -642.953 -737.615 -726.545 -681.203 -848.006 -820.622 -719.454 -958.398 -914.700 -757.705 -1068.790 -1008.777 -795.956 -1179.182 -1102.855 -834.206 -1289.573 -1196.932 -872.457 -1399.965 -1291.010 -910.708 -1510.357 -1385.087 -948.958 -1620.748 -1479.164 -987.209 -1731.140 -1573.242 -1025.460 -1841.532 -1667.319 -1063.710 -1951.923 -1761.397 -1136.387 -2161.668 -1940.144 1 
-97248.649 1.794 285.510 26.212 -22.909 -283.856 138.296 76.159 -272.778 250.379 175.228 -261.700 362.463 274.296 -250.622 474.547 373.365 -239.544 586.630 472.433 -228.466 698.714 571.502 -217.389 810.797 670.570 -206.311 922.881 769.639 -195.233 1034.964 868.707 -184.155 1147.048 967.775 -173.077 1259.131 1066.844 -161.999 1371.215 1165.912 -150.922 1483.299 1264.981 -139.844 1595.382 1364.049 -128.766 1707.466 1463.118 -117.688 1819.549 1562.186 -106.610 1931.633 1661.255 -95.532 2043.716 1760.323 -84.454 2256.675 1948.553 -63.407 1 
-75264.300 1.921 340.157 376.129 -9.273 -250.711 333.440 -92.539 -133.474 290.751 -175.805 -16.238 248.062 -259.071 100.999 205.372 -342.337 218.236 162.683 -425.602 335.472 119.994 -508.868 452.709 77.305 -592.134 569.945 34.616 -675.400 687.182 -8.073 -758.666 804.419 -50.763 -841.932 921.655 -93.452 -925.198 1038.892 -136.141 -1008.464 1156.128 -178.830 -1091.730 1273.365 -221.519 -1174.996 1390.602 -264.209 -1258.262 1507.838 -306.898 -1341.528 1625.075 -349.587 -1424.793 1742.311 -392.276 -1508.059 1859.548 -473.385 -1666.265 2082.298 0 
-151031.983 1.217 1687.087 -189.285 -153.362 -1763.029 -43.400 -137.755 -1731.818 102.484 -122.148 -1700.606 248.369 -106.541 -1669.395 394.253 -90.933 -1638.183 540.138 -75.326 -1606.972 686.022 -59.719 -1575.760 831.906 -44.112 -1544.549 977.791 -28.505 -1513.337 1123.675 -12.898 -1482.126 1269.560 2.709 -1450.914 1415.444 18.317 -1419.703 1561.328 33.924 -1388.491 1707.213 49.531 -1357.280 1853.097 65.138 -1326.068 1998.982 80.745 -1294.857 2144.866 96.352 -1263.645 2290.750 111.959 -1232.434 2436.635 127.567 -1201.222 2713.815 157.220 -1141.921 0 
-28728.912 1.207 2970.524 -2914.778 -498.609 -281.907 -2980.500 -579.799 -174.256 -3046.222 -660.990 -66.605 -3111.943 -742.181 41.046 -3177.665 -823.372 148.697 -3243.387 -904.562 256.348 -3309.109 -985.753 363.998 -3374.831 -1066.944 471.649 -3440.552 -1148.134 579.300 -3506.274 -1229.325 686.951 -3571.996 -1310.516 794.602 -3637.718 -1391.707 902.253 -3703.440 -1472.897 1009.904 -3769.162 -1554.088 1117.555 -3834.883 -1635.279 1225.205 -3900.605 -1716.469 1332.856 -3966.327 -1797.660 1440.507 -4032.049 -1878.851 1548.158 -4097.771 -1960.042 1655.809 -4222.642 -2114.304 1860.346 0 
