stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 x10 y10 z10 x11 y11 z11 x12 y12 z12 x13 y13 z13 x14 y14 z14 x15 y15 z15 x16 y16 z16 x17 y17 z17 x18 y18 z18 x19 y19 z19 spike 
-1025630.353 1.861 398.582 323.134 -4.632 -394.751 429.947 -17.967 118.169 520.729 -16.616 634.287 576.717 14.237 1154.072 485.066 152.021 1632.927 78.365 421.977 1541.101 -306.542 624.501 1249.178 -691.078 803.091 941.116 -1093.240 970.241 649.764 -1527.534 1129.835 404.616 -2005.762 1279.522 257.022 -2510.510 1413.036 261.436 -2994.908 1539.778 410.407 -3393.585 1696.172 704.410 -3304.638 1971.624 1048.469 -2827.493 2178.086 1076.158 -2335.075 2338.918 998.836 -1845.561 2481.230 877.540 -1360.238 2613.218 730.262 -448.645 2847.198 405.203 1 
-5586735.383 1.959 103.925 100.760 -43.182 -10.054 -67.607 156.237 -464.540 -255.689 358.689 -909.804 -483.232 567.469 -1332.768 -839.030 785.387 -1620.181 -1181.628 835.652 -1264.071 -1374.338 811.070 -777.608 -1540.652 792.253 -280.969 -1712.187 799.721 214.086 -1910.759 855.198 695.407 -2161.557 993.410 1132.317 -2476.085 1234.571 1472.214 -2839.607 1539.855 1690.274 -3255.030 1846.826 1745.346 -3589.585 1801.694 1448.365 -3573.546 1393.270 1125.884 -3469.052 949.202 868.580 -3331.771 495.716 644.765 -3176.622 37.858 442.415 -2852.990 -838.346 97.538 1 
-40877.841 0.873 898.513 -304.186 -23.664 -903.381 107.500 298.784 -868.521 514.757 628.257 -854.005 909.507 971.313 -881.366 1208.007 1335.973 -1067.396 949.539 1418.987 -1483.349 552.155 1362.492 -1819.924 137.125 1301.548 -2134.089 -282.156 1267.049 -2446.456 -694.713 1288.147 -2768.218 -1074.970 1410.645 -3104.804 -1376.522 1666.785 -3445.503 -1569.594 2020.495 -3777.931 -1598.468 2421.997 -4106.265 -1225.999 2536.089 -4330.790 -820.773 2209.930 -4309.035 -488.880 1811.622 -4234.748 -193.861 1388.366 -4143.053 77.866 951.622 -4042.710 551.753 99.837 -3839.471 0 
-12500.151 1.351 3216.316 -303.435 -2358.666 2549.579 188.372 -2204.896 2453.902 685.884 -2058.800 2378.010 1192.501 -1930.785 2343.163 1681.592 -1894.326 2470.234 1653.646 -2154.452 2892.450 1423.565 -2448.805 3259.612 1177.105 -2755.070 3606.200 949.555 -3079.928 3948.615 772.254 -3431.036 4294.254 697.677 -3813.575 4642.096 777.086 -4207.856 4975.042 996.467 -4568.820 5282.408 1347.380 -4822.304 5569.543 1679.043 -4582.054 5755.126 1640.495 -4063.109 5738.669 1495.157 -3563.072 5682.447 1306.455 -3079.028 5614.022 1092.499 -2606.384 5539.986 642.503 -1730.593 5391.977 0 
-7814073.738 1.907 1417.769 386.179 3.912 -2801.355 154.822 140.265 -2351.294 -94.338 265.411 -1907.583 -378.498 365.354 -1479.182 -766.644 349.328 -1153.956 -1044.279 24.769 -1407.518 -1156.163 -311.596 -1793.172 -1240.126 -655.227 -2179.866 -1328.367 -1017.645 -2547.869 -1443.437 -1409.590 -2875.462 -1613.668 -1839.284 -3118.930 -1858.093 -2287.726 -3227.433 -2167.886 -2707.915 -3208.322 -2555.281 -3027.237 -3074.909 -2935.312 -2842.585 -2921.149 -2989.455 -2326.769 -2966.575 -2947.327 -1816.224 -3075.618 -2867.837 -1316.659 -3212.383 -2767.427 -825.791 -3366.059 -2542.041 88.938 -3688.372 1 
-136733.048 1.884 115.388 -235.371 23.400 -5.586 220.932 -58.594 -249.999 672.824 -123.367 -507.331 1113.419 -151.104 -789.058 1465.439 -25.842 -1131.224 1251.649 394.820 -1286.308 895.402 778.842 -1288.341 536.592 1159.911 -1261.770 197.809 1558.508 -1231.679 -97.106 1990.831 -1214.334 -302.144 2471.001 -1231.312 -366.475 2983.902 -1304.873 -300.822 3483.182 -1443.816 -121.884 3906.476 -1685.982 46.932 3855.464 -2099.576 -25.073 3397.007 -2335.571 -166.865 2914.738 -2482.652 -338.231 2431.804 -2592.184 -527.387 1950.987 -2679.847 -918.350 1044.421 -2809.077 1 
-11770.080 1.378 403.452 -97.374 1270.758 57.434 -111.196 781.870 -130.902 -137.850 287.368 -302.307 -192.144 -215.472 -438.199 -355.199 -694.948 -423.986 -664.647 -641.914 -39.092 -923.772 -382.923 335.295 -1184.105 -100.973 692.221 -1467.325 171.679 1038.641 -1792.895 408.279 1373.609 -2183.829 563.384 1683.454 -2636.849 585.850 1942.076 -3103.691 472.908 2147.501 -3514.461 202.801 2315.281 -3446.627 -222.173 2445.501 -2954.449 -383.784 2497.495 -2434.394 -434.441 2533.524 -1911.394 -437.523 2565.936 -1388.878 -412.353 2597.452 -399.758 -315.285 2657.730 0 
-47152.871 1.823 886.236 24.756 18.786 -885.691 85.870 58.481 -1404.693 159.176 116.153 -1920.369 258.517 210.075 -2425.912 455.533 431.926 -2836.585 736.928 763.566 -2596.698 953.583 996.363 -2180.460 1170.769 1203.575 -1750.858 1412.050 1405.778 -1331.981 1698.838 1614.005 -946.530 2058.220 1835.882 -639.109 2492.263 2069.677 -467.170 2953.242 2313.752 -438.497 3372.274 2589.960 -572.520 3328.550 2888.234 -906.111 2847.494 2993.785 -1074.943 2331.406 3036.762 -1153.221 1809.074 3056.021 -1190.467 1285.182 3062.373 -1202.611 289.760 3053.777 -1180.831 0 
-1079858.386 1.568 577.806 4.123 -571.986 -81.695 -405.355 -877.915 -197.491 -804.458 -1200.562 -303.499 -1180.145 -1555.665 -387.310 -1426.465 -1997.992 -368.343 -1101.342 -2235.524 -77.504 -676.204 -2286.141 224.296 -254.581 -2309.428 534.709 151.005 -2341.111 864.945 524.258 -2407.789 1226.075 828.184 -2545.741 1627.934 1014.943 -2782.417 2054.223 1086.380 -3106.004 2458.060 1052.003 -3523.282 2765.529 956.245 -3918.065 2572.816 969.633 -3943.234 2052.961 1028.147 -3862.225 1538.826 1107.856 -3739.779 1035.594 1200.996 -3593.972 540.907 1402.767 -3277.981 -381.509 1 
-1320316.941 0.742 446.797 24.376 359.050 264.796 29.023 776.074 -52.604 49.973 1201.491 -357.896 105.618 1641.143 -636.954 296.532 2085.727 -787.229 673.670 2101.505 -464.379 987.186 1922.921 -84.638 1296.980 1717.600 284.869 1627.579 1515.823 637.786 1999.415 1340.765 962.242 2434.937 1229.744 1228.487 2928.719 1225.230 1398.122 3433.347 1334.818 1477.096 3884.945 1591.359 1486.395 3870.355 2040.478 1501.907 3409.406 2264.690 1593.099 2911.350 2381.560 1705.359 2406.840 2452.238 1828.095 1900.934 2495.563 1957.833 940.430 2530.399 2217.894 1 
