stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 spike 
-62641.341 0.973 1057.048 3.317 1101.258 11.446 306.743 897.593 1975.086 2098.998 2526.981 1047.327 3181.630 2762.513 2009.656 2817.765 432.636 1011.612 0 
-54308.358 0.927 530.858 525.397 10.473 -75.223 -251.692 -431.824 -1861.262 -2203.858 -188.641 -170.779 -3466.699 -708.968 -707.563 -1491.447 -2282.406 -283.904 0 
-118112.493 0.647 126.690 103.045 7.848 174.375 -1228.465 712.250 -1137.237 1137.974 993.041 -2161.418 1130.301 1873.880 -3335.176 534.583 2792.568 -1020.453 1 
-54680.223 0.597 104.949 -42.597 1840.269 19.173 40.442 363.476 -1323.070 -114.709 -700.540 1037.359 195.786 -2134.712 1017.662 1992.366 -410.564 420.650 1 
-9662541.918 1.851 1629.379 -1609.949 159.201 193.897 -2280.786 -1346.390 1321.994 280.516 -1149.493 1680.866 833.335 -2322.792 2367.456 -197.491 -2551.540 34.672 1 
-220148.098 1.112 1259.061 1254.924 -99.191 -23.678 3137.632 178.624 -630.026 3160.166 -154.677 1942.177 4448.756 220.331 2535.936 2977.376 1986.752 1408.280 0 
-3793621.848 0.906 1278.595 -435.848 -1062.300 -562.459 -1016.742 -2837.185 -1270.820 1417.635 -3071.771 -406.757 2044.399 -4320.672 -855.150 1372.849 -2524.566 -2552.157 1 
-1089053.294 0.868 2648.003 6.070 57.507 2653.638 1715.159 -850.099 3148.304 -215.037 -2009.147 4436.239 281.582 -2881.752 5506.554 659.990 -351.591 5615.653 0 
-23141.550 0.522 190.669 -755.428 265.469 -5.393 818.110 -412.210 1021.330 -830.916 678.268 2700.437 -216.729 894.530 4015.598 651.293 2146.266 1957.321 0 
-682565.063 1.305 2200.798 2195.729 -147.035 -25.839 2890.115 -766.538 -1793.174 4252.448 1322.007 -1079.137 5047.683 1866.895 -2185.637 2489.453 1886.318 -2294.695 0 
-372165.437 0.872 393.944 50.130 394.307 -9.878 -1234.332 5.867 1469.547 1164.635 -448.564 2344.917 1158.660 -1188.091 3612.477 265.223 -2274.709 1472.888 1 
-611976.434 1.114 2038.950 17.878 -4.394 -2038.867 -1332.808 1326.492 -2666.417 1010.803 2428.983 -2807.238 926.735 3880.548 -3006.075 54.854 2814.678 -847.242 0 
-39756.898 1.961 677.865 809.758 -4.545 -287.910 -933.450 -737.099 -931.354 -167.600 -2150.167 1104.460 -940.018 -3390.924 1236.888 567.585 -3012.802 -798.050 0 
