stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 x4 y4 z4 x5 y5 z5 x6 y6 z6 x7 y7 z7 x8 y8 z8 x9 y9 z9 spike 
-1079858.386 1.568 577.806 4.123 -571.986 -81.695 -882.221 -1268.164 -322.737 -1338.627 -2145.347 -260.543 -421.924 -2300.581 408.741 453.472 -2390.153 1150.820 1014.943 -2782.417 2054.223 1031.609 -3621.908 2793.134 989.655 -3917.882 1845.866 1162.404 -3654.497 737.878 1402.767 -3277.981 -381.509 1 
-1320316.941 0.742 446.797 24.376 359.050 264.796 57.316 1288.016 -416.606 459.626 2152.107 -687.008 1171.677 1800.534 138.680 1920.672 1372.217 900.635 2928.719 1225.230 1398.122 3950.231 1672.793 1483.043 3211.667 2319.081 1636.379 2103.336 2480.867 1905.224 940.430 2530.399 2217.894 1 
-46789.069 0.679 953.349 949.164 -47.802 -75.350 1835.822 687.462 -115.257 2682.733 1004.549 -520.006 2381.997 151.555 -1223.099 2000.894 -642.813 -1963.885 1885.154 -1159.249 -2966.459 2338.283 -1228.518 -3986.699 2991.637 -1334.847 -3246.091 3167.785 -1581.343 -2134.758 3234.426 -1877.686 -968.437 0 
-10584.360 1.317 497.909 -185.662 -7.120 461.944 -1029.237 722.454 171.304 -1639.300 1120.487 -500.275 -1104.147 310.366 -1108.301 -621.243 -575.332 -1662.708 -543.806 -1400.312 -2436.445 -982.420 -1755.462 -3402.104 -712.638 -799.501 -3407.967 -75.693 32.465 -2929.446 649.118 813.458 -2366.182 0 
-437370.750 1.312 1537.618 -182.630 -139.345 2250.822 -106.075 -992.870 1480.104 364.417 -1454.724 740.543 1101.690 -621.903 1014.804 1861.585 161.561 1380.546 2886.285 614.079 1555.111 3954.467 543.828 1230.973 3307.735 611.377 480.072 2251.319 911.632 132.679 1132.241 1280.535 -120.582 0 
-6838158.042 1.599 40.019 9.664 -4.065 -38.621 1142.594 -202.529 35.219 2008.677 -121.806 509.570 1277.722 346.106 1257.330 505.151 718.215 2025.245 86.655 941.128 3055.015 383.044 1059.000 4127.056 933.744 1591.231 3494.492 1024.098 2068.063 2449.831 998.139 2542.453 1342.200 1 
-3641012.973 0.864 564.290 -30.680 212.276 -521.939 78.130 757.029 -1531.778 -314.296 1222.200 -2313.598 -1232.050 1043.133 -1651.749 -2114.684 936.689 -920.551 -3111.330 1199.227 -448.294 -4047.107 1787.450 -619.548 -3796.204 1197.079 -1377.959 -3197.681 281.391 -1738.702 -2551.786 -702.890 -1996.727 1 
-691145.451 1.424 17.843 -4.873 5.658 -16.206 1116.887 -253.726 -68.597 1974.565 -488.854 368.127 1246.823 -477.026 1252.793 473.081 -554.146 2101.557 40.883 -916.602 3084.963 317.458 -1423.530 4042.847 903.979 -657.369 3806.904 1037.740 311.571 3198.536 1056.647 1318.679 2536.764 1 
-9444092.406 1.609 149.425 -149.042 4.255 9.806 -768.930 -793.796 -544.471 -1560.903 -1063.265 -1075.311 -1698.419 71.041 -992.717 -1753.809 1220.683 -975.977 -2038.879 2253.570 -1346.293 -2726.787 2785.724 -2049.576 -3182.436 2134.756 -1453.503 -3146.063 1518.178 -481.208 -3009.184 940.638 567.733 1 
-11539.446 1.594 2675.049 -2386.209 -1209.080 4.684 -3515.437 -1438.407 29.661 -4359.789 -1691.532 -422.690 -3595.557 -1771.958 -1272.316 -2789.157 -1938.888 -2076.602 -2325.535 -2394.173 -3005.595 -2574.591 -2975.669 -3928.008 -3150.724 -2179.381 -3784.223 -3285.067 -1158.887 -3267.123 -3305.958 -98.279 -2695.073 0 
