stim_amp stim_dur min_dist x0 y0 z0 x1 y1 z1 spike 
-1821198.823 1.693 1889.287 671.238 22.252 1765.885 2699.781 582.000 3882.939 1 
-1746169.587 0.900 153.419 -27.155 -4.839 150.919 2144.770 1478.917 1562.103 1 
-36152.593 0.723 115.117 -5.993 -114.703 -7.688 -887.764 -1985.590 2144.633 1 
-4524904.788 1.461 64.949 55.087 31.093 14.729 1850.259 646.284 2318.883 1 
-1923514.612 1.433 2000.087 -1973.249 16.546 326.127 -3913.986 -1235.161 2217.423 1 
-19643.103 0.964 108.428 96.902 -40.674 -26.686 3080.440 -132.136 -7.670 1 
-2376465.997 1.558 2562.537 54.823 -2561.948 3.535 612.906 -3323.326 2835.332 0 
-1030737.361 1.059 1777.116 -111.853 -8.021 1773.575 2487.124 1358.084 2311.440 0 
-7035877.132 0.788 1773.370 -1629.511 -79.090 2777.360 1047.701 20.088 1460.955 0 
-531243.157 1.863 1425.792 750.409 -1211.541 -44.037 1512.750 -2087.000 2705.987 0 
-125166.287 1.164 135.107 19.349 -42.515 -267.243 1308.396 225.898 2411.663 1 
-492975.575 1.386 278.902 50.248 203.451 -184.036 -546.449 2343.056 1810.021 1 
-5117746.901 1.575 2403.219 -593.329 361.164 -2451.616 -1457.400 -2370.370 -1613.566 0 
-873200.420 1.987 2647.003 -1598.590 874.053 2149.585 851.735 -482.688 3181.762 0 
-157376.903 0.919 3077.494 -2405.367 -546.820 1840.154 -2198.676 -1260.275 4731.259 0 
-7626159.856 1.784 469.731 468.790 -4.087 -29.422 3386.693 -587.703 -264.923 1 
-19975.162 1.492 40.113 17.456 12.675 -33.818 1823.513 -353.653 -2382.049 1 
-370770.151 1.302 1114.844 -2740.707 -11.598 10.030 -20.647 934.646 -774.903 0 
-253865.946 1.517 12.942 -3.352 12.122 -23.208 -377.258 -2210.716 1933.680 1 
-41818.241 1.930 1407.352 14.098 -2143.740 -187.761 -1949.694 83.575 116.899 0 
-127030.234 1.551 745.598 5.063 -53.169 -930.528 -1234.093 -1994.999 967.897 0 
-364931.551 1.722 197.959 -127.936 -113.151 100.085 -2058.042 2125.063 518.787 1 
-986408.475 0.978 94.501 -40.997 87.316 -52.609 -1435.710 -1054.687 2326.641 1 
-2376176.846 0.907 1367.812 -3.200 37.023 -1367.307 4.965 -2380.309 -3118.498 1 
-69421.418 1.031 331.863 329.276 40.621 -7.761 1223.240 2842.934 -515.790 0 
-14172.935 1.217 53.273 44.877 -19.038 -21.485 492.142 2672.190 -1232.876 1 
-71172.628 1.895 1335.844 -27.652 -1335.472 15.144 -2592.586 -2818.608 377.971 0 
-6854000.855 1.012 626.458 -615.007 -116.673 -24.564 -1950.483 -2332.195 -1513.924 1 
-482233.265 0.634 1685.812 -63.516 -272.508 -1976.660 1494.331 -2061.870 -165.163 0 
-2323836.327 0.681 408.176 29.408 425.664 -70.699 -2420.512 -141.836 1537.425 1 
-276431.910 0.906 741.977 -934.533 -99.016 5.138 982.184 -685.983 2216.899 0 
-1857244.222 0.861 2007.090 1910.925 613.731 10.482 3441.692 -1173.570 -1825.964 0 
-226053.273 1.016 1593.313 -8.870 1584.017 171.634 2455.492 2195.027 1741.287 0 
-40061.924 1.870 16.449 -22.844 13.260 -110.456 761.561 4.559 2769.624 1 
-286516.259 0.644 140.573 115.346 3.979 -167.161 555.032 358.860 2763.873 1 
-428015.310 1.145 607.059 39.780 575.769 -188.224 -2872.254 1154.982 119.660 1 
-4568048.327 1.101 120.591 2813.079 -23.073 -1228.576 89.623 79.927 -11.037 1 
-145367.244 1.905 805.174 907.339 -275.545 557.301 118.414 -551.769 -2308.274 0 
-236314.677 1.461 289.313 239.193 -101.487 149.499 -1157.140 -2545.427 -844.299 1 
-1264301.392 1.522 124.056 -104.033 95.053 -59.224 1224.741 399.346 2596.334 1 
-11790.668 1.914 61.107 -46.037 41.517 -17.148 446.947 294.295 2915.989 1 
-801740.659 1.158 76.018 6.352 12.991 -207.401 -77.172 928.462 2632.522 1 
-911115.936 0.875 670.458 111.332 -343.770 -680.922 -1804.060 -1534.167 1274.700 1 
-39648.023 1.244 606.403 -497.225 341.860 -60.199 62.012 2404.703 -2143.984 0 
-1061851.673 1.409 2401.605 46.734 2398.760 107.116 -1435.218 3220.423 -2350.304 0 
-9603797.586 1.208 2329.931 -1255.869 -5.003 -2259.208 1696.368 404.732 -2422.421 0 
-823558.478 1.589 10.211 -9.968 -6.147 3.127 1057.024 1359.778 -2427.100 1 
-208144.375 0.535 2195.455 -2195.446 4.672 -4.298 -4523.845 1499.107 -1124.766 0 
-15427.707 0.582 506.764 -508.461 4.833 4.216 -292.277 -742.656 -2877.580 0 
-197366.507 0.969 329.303 -171.349 -267.405 87.034 1764.247 -760.657 2305.231 1 
-24186.193 0.719 2715.911 -916.367 -2556.606 14.410 489.940 -4659.942 1598.236 0 
-136311.055 0.522 72.822 69.417 -17.173 -13.762 1739.472 -2139.700 -1284.990 1 
-820231.000 0.525 495.040 -6.212 6.000 -581.611 990.870 2333.256 999.506 1 
-8510974.117 1.024 2412.074 -58.806 -5.579 2411.351 -269.242 -2629.018 3819.723 1 
-43917.641 1.036 1552.022 4.219 -2001.016 -5.945 -2260.621 -120.147 -498.952 0 
-146132.512 0.859 409.312 -6.968 -273.594 304.358 840.097 -960.411 3083.025 1 
-30494.705 0.714 995.546 -1634.868 1147.067 -129.611 82.218 -1045.130 -1204.839 0 
-5781077.741 1.639 1197.213 -1602.527 -15.969 -11.349 408.412 -1505.189 -1638.792 1 
-11847.944 1.975 5.514 -13.651 -6.928 13.637 1929.004 998.014 -2017.720 1 
-692244.346 1.320 146.165 3.833 249.815 12.042 -1713.935 -2167.192 354.943 1 
-2467180.001 1.671 2239.590 2376.466 33.335 1196.797 2013.775 -808.668 -1643.927 0 
-86254.683 1.565 21.315 -6.336 -3.323 20.078 2596.933 -1416.852 387.705 1 
-30241.239 1.337 145.895 4.118 163.722 -58.808 759.815 -585.034 2730.190 1 
-2371818.380 1.755 170.245 -117.358 -25.978 126.514 -1384.243 -1340.783 -2234.951 1 
-717564.608 1.636 548.437 -617.198 12.313 -220.250 1749.145 555.407 -1956.826 1 
-74727.105 1.877 51.334 12.951 93.076 -7.103 -1933.215 -2152.801 273.435 1 
-1228655.302 1.750 1409.107 -3.719 -152.629 2467.662 -321.182 -1668.659 -84.023 0 
-1289619.317 0.695 213.292 -3.104 7.720 217.066 1586.755 2453.668 -415.321 1 
-7383291.406 0.530 1538.355 -40.016 724.601 1356.425 2043.937 2859.288 1458.773 1 
-11595.126 0.573 59.783 3.313 3.425 64.041 2677.992 337.043 -1218.542 1 
-56283.461 1.590 2441.138 -311.318 -13.108 2421.170 830.329 2428.307 3704.275 0 
-41766.060 0.990 46.808 4.553 -6.702 46.102 812.274 -2829.254 -493.351 1 
-89337.805 1.797 249.768 -127.306 -240.929 -12.385 -85.082 955.983 2721.813 1 
-3197216.972 0.542 1200.183 426.133 -1121.571 30.449 1558.075 -1903.631 2679.470 1 
-10917.136 1.395 457.069 10.240 40.679 -455.140 1168.786 -2358.707 -1800.854 0 
-63319.092 1.515 176.972 -16.027 408.714 796.944 1.926 -1450.167 -1538.535 1 
-5543869.170 1.917 233.290 -5.682 -390.854 38.587 1499.352 2074.916 790.300 1 
-513408.089 1.814 652.357 -1048.486 -39.289 -6.581 1337.293 -1019.264 -1509.221 1 
-81667.203 0.767 161.700 -5.699 8.438 -211.541 -242.572 2190.069 1811.971 1 
-92671.608 0.696 17.590 -3.772 -14.348 -23.479 -1370.534 1489.376 2163.070 1 
-545910.701 1.710 552.300 -551.846 12.627 -18.490 -3258.229 -449.585 -1189.845 1 
-65881.680 1.072 333.473 331.172 -9.403 -37.954 2672.204 1531.281 -1065.615 0 
-580166.514 1.723 509.673 286.069 493.086 12.460 -2692.902 675.073 -40.789 1 
-4069194.292 1.943 2310.189 225.990 -2293.652 -158.315 673.134 -3542.410 2515.801 1 
-132528.344 0.875 2369.301 -8.977 326.507 -2381.410 487.592 -2615.106 -2278.655 0 
-157536.868 1.344 122.495 -385.969 -13.606 110.556 2489.009 -720.030 -271.141 1 
-102845.446 1.080 1245.688 20.433 -2130.538 13.080 1522.361 300.429 -849.958 0 
-140074.108 1.863 556.218 9.615 -656.977 -117.449 2270.551 826.778 1146.221 0 
-17082.666 1.969 493.905 4.093 441.069 -270.296 2012.698 722.853 1919.757 0 
-444536.150 1.738 199.771 -6.460 -195.427 201.603 2133.809 1488.754 -1020.285 1 
-70012.691 0.594 543.545 7.036 -590.445 -150.141 -908.689 89.081 2608.466 0 
-6102886.738 0.861 413.103 15.242 110.801 479.686 1938.057 -1768.799 -816.506 1 
-86734.835 1.328 1129.979 -809.285 -788.602 -4.097 101.045 -2868.600 1933.720 0 
-264091.592 1.292 110.642 109.215 -8.255 15.674 2521.566 1090.929 -1356.397 1 
-505954.454 1.285 163.825 -94.997 -214.853 104.437 -280.701 1404.780 -2396.068 1 
-39418.066 0.514 114.091 -5.196 112.752 -16.637 -2675.513 1381.368 395.971 1 
-14302.162 1.905 1456.195 237.700 -1430.812 -129.534 -2554.683 -2037.044 -992.843 0 
-31072.903 1.443 1343.803 1343.699 15.793 -5.439 2365.756 -2766.827 344.770 0 
-6799412.220 1.861 389.552 294.628 14.453 -254.433 2705.176 -1218.740 1002.037 1 
-1334894.476 1.569 2569.793 65.184 -1181.288 2281.259 -595.928 1022.143 4183.376 0 
-35524.376 1.299 146.320 89.584 -4.260 138.188 1565.321 220.811 -2446.724 1 
-642146.005 1.072 794.121 -19.711 167.319 1057.585 -1531.928 1411.360 -1195.365 0 
-36021.558 0.723 1376.594 290.599 -1484.978 6.002 -342.329 -335.236 2686.995 0 
-267238.227 0.736 103.975 -3.907 143.724 147.277 437.350 -608.380 -2707.518 1 
-26487.010 0.559 504.337 -37.319 495.550 85.984 -202.312 3306.659 1076.271 0 
-360224.056 1.011 543.771 40.329 -260.457 -475.675 -1738.587 -2401.452 602.203 0 
-21000.065 1.836 2000.304 -2030.761 159.844 481.282 -649.188 -983.604 2867.494 0 
-595813.343 1.165 147.681 -147.322 -7.036 -7.512 -2835.716 -1298.558 113.873 1 
-433079.878 1.625 2852.161 -298.838 39.030 2836.194 -1094.724 -151.835 5706.797 0 
-47203.775 0.888 438.919 -8.189 438.033 -26.647 369.133 2580.612 2017.176 0 
-160733.025 0.606 79.994 -74.536 3.901 -28.778 -2944.371 748.435 317.541 1 
-2941783.244 1.097 397.080 394.069 -3.860 48.658 1017.179 -2207.164 -1866.390 1 
-4551447.524 1.008 142.334 -51.700 129.829 27.032 1026.653 2720.964 1043.595 1 
-4513974.078 1.966 1508.061 1506.831 59.115 14.588 3443.531 -1966.631 1042.095 1 
-80369.060 0.851 47.551 52.484 23.158 -7.684 -1926.489 -486.297 -2183.539 1 
-8189178.696 0.892 360.830 -412.506 -3.138 79.109 963.252 2508.558 -762.850 1 
-5788140.861 1.402 479.365 7.232 -399.951 264.154 2661.214 -1263.683 1322.724 1 
-689420.033 1.434 331.296 127.102 77.230 351.755 -1153.498 2230.551 -1271.051 1 
-1142517.054 0.930 244.236 145.560 -190.160 47.987 476.287 300.367 2973.774 1 
-3292568.114 1.613 983.749 983.681 -4.370 10.768 2691.870 -2451.382 77.461 1 
-295462.245 0.878 37.635 34.865 -15.543 10.592 -964.500 -1476.094 -2393.215 1 
-70934.505 1.974 2078.679 -2449.725 1056.387 67.215 -1565.600 -1674.384 886.628 0 
-174381.807 0.600 2355.465 -2347.322 39.615 191.644 -4774.256 -1410.791 1149.003 0 
-310977.135 0.907 963.295 387.116 -7.573 882.055 1874.769 -1871.726 2677.061 0 
-281635.763 1.696 2018.349 -16.211 -15.896 -2341.745 2504.957 555.189 -849.165 0 
-449975.642 1.743 254.794 20.365 5.213 471.566 -333.234 1569.221 -2046.185 1 
-11901.825 1.674 201.381 -4.684 -42.665 470.482 -1107.192 -379.643 -2282.906 0 
-452304.486 0.723 660.154 -13.718 161.848 852.881 2278.288 -6.675 -1051.990 0 
-294749.386 1.625 1564.148 317.003 1559.774 -33.244 1218.024 867.964 2727.152 0 
-2491165.557 1.754 995.606 994.495 5.468 46.709 2890.620 1612.936 -1605.859 1 
-1087583.651 0.690 48.874 4.774 3.406 -48.521 -2823.495 878.397 -429.977 1 
-1661668.484 1.380 182.213 5.372 -6.849 -182.077 2859.513 -843.563 70.938 1 
-1309746.983 1.366 51.231 34.724 -16.843 33.692 -54.337 2419.892 1755.498 1 
-43213.438 1.535 275.523 -12.058 -259.726 91.158 2181.750 -2243.119 495.609 0 
-10531.034 1.319 326.513 -227.108 -234.558 -3.935 -2563.252 1614.991 174.456 0 
